GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 5
NumberOfClasses: 1
ClassIDsAndCounters: 
1	5
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 50
TimeSeriesData: 
161.176	109.221
160.77	110.473
160.77	110.473
159.861	111.542
159.861	111.542
159.137	113.41
159.137	113.41
158.106	120.797
158.106	120.797
157.156	132.557
157.156	132.557
157.156	132.557
157.52	149.527
160.426	175.907
160.426	175.907
160.426	175.907
162.831	195.531
163.384	208.176
163.384	208.176
163.384	208.176
166.885	215.777
170.017	218.77
170.017	218.77
167.416	217.564
167.416	217.564
163.641	209.02
163.641	209.02
163.18	191.957
163.18	191.957
162.989	168.337
162.989	168.337
162.989	168.337
164.135	145.356
168.284	129.798
168.284	129.798
168.284	129.798
171.087	116.345
171.087	116.345
173.388	108.112
173.388	108.112
176.888	103.934
176.888	103.934
176.103	102.89
176.103	102.89
176.768	102.099
176.768	102.099
175.121	102.882
175.121	102.882
173.073	103.203
173.073	103.203
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 70
TimeSeriesData: 
165.996	104.732
165.898	104.525
165.898	104.525
163.92	105.19
163.92	105.19
163.92	105.19
162.963	105.701
163.588	106.435
163.588	106.435
163.588	106.435
164.322	106.677
164.381	107.291
164.381	107.291
164.381	107.291
164.2	108.968
161.82	120.338
161.82	120.338
161.82	120.338
160.685	138.438
160.959	161.666
160.959	161.666
160.959	161.666
159.002	186.236
156.67	208.073
156.67	208.073
156.67	208.073
163.624	222.744
172.932	228.783
172.932	228.783
172.932	228.783
176.432	230.952
176.432	230.952
174.329	230.241
174.329	230.241
169.501	227.162
169.501	227.162
164.273	221.942
164.273	221.942
157.729	211.354
157.729	211.354
158.93	191.503
158.93	191.503
160.563	173.16
160.563	173.16
162.367	153.205
162.367	153.205
161.242	139.495
161.242	139.495
163.497	131.58
163.497	131.58
162.421	126.961
162.421	126.961
162.061	123.405
162.061	123.405
161.76	122.796
161.76	122.796
162.245	122.657
162.245	122.657
162.501	121.956
162.501	121.956
162.238	122.024
162.238	122.024
162.123	122.69
162.123	122.69
161.861	122.649
161.861	122.649
161.855	121.254
161.855	121.254
162.107	120.259
162.107	120.259
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 54
TimeSeriesData: 
165.436	115.245
165.436	115.245
165.095	116.196
165.095	116.196
165.094	117.272
165.094	117.272
165.079	119.511
165.079	119.511
164.613	123.725
164.613	123.725
161.594	132.604
161.594	132.604
161.59	146.784
161.59	146.784
163.024	168.782
163.024	168.782
163.623	183.118
163.623	183.118
162.831	195.784
162.831	195.784
162.917	205.66
162.917	205.66
165.846	208.973
165.846	208.973
165.028	207.271
165.028	207.271
163.688	201.914
163.688	201.914
164.085	191.521
164.085	191.521
166.331	178.153
166.331	178.153
166.997	163.683
166.997	163.683
168.699	148.136
168.699	148.136
170.729	136.458
170.729	136.458
170.729	136.458
173.032	128.341
174.2	121.533
174.2	121.533
175.628	119.409
175.628	119.409
176.631	116.208
176.631	116.208
176.836	116.222
176.836	116.222
175.961	116.415
175.961	116.415
175.961	116.415
175.37	116.782
174.331	117.536
174.331	117.536
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 48
TimeSeriesData: 
169.085	116.91
168.657	117.407
168.657	117.407
167.807	118.478
167.807	118.478
166.806	121.459
166.806	121.459
164.43	131.585
164.43	131.585
163.61	147.218
163.61	147.218
164.073	161.743
164.073	161.743
162.909	175.667
162.909	175.667
161.292	186.951
161.292	186.951
159.646	192.896
159.646	192.896
161.079	196.094
161.079	196.094
161.056	198.045
161.056	198.045
158.996	198.677
158.996	198.677
159.04	194.354
159.04	194.354
159.04	194.354
158.995	184.236
158.282	170.226
158.282	170.226
159.507	153.934
159.507	153.934
161.717	141.239
161.717	141.239
165.257	130.237
165.257	130.237
169.759	121.245
169.759	121.245
171.355	117.809
171.355	117.809
171.572	116.779
171.572	116.779
172.363	116.613
172.363	116.613
172.247	117.668
172.247	117.668
172.247	117.668
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 55
TimeSeriesData: 
172.336	118.526
172.336	118.526
172.008	118.207
172.008	118.207
172.089	118.095
172.089	118.095
172.291	118.611
172.291	118.611
172.198	121.126
172.198	121.126
171.648	126.752
171.648	126.752
169.12	137.929
169.12	137.929
169.67	154.064
169.67	154.064
169.557	172.893
169.557	172.893
168.946	185.016
168.946	185.016
168.515	193.545
168.515	193.545
168.005	197.74
168.005	197.74
168.74	201.294
168.74	201.294
169.634	201.296
169.634	201.296
168.641	198.24
168.641	198.24
167.917	190.639
167.917	190.639
168.045	180.427
168.045	180.427
168.085	168.741
168.085	168.741
171.07	155.653
171.07	155.653
171.07	155.653
172.064	146.468
172.655	137.755
172.655	137.755
172.655	137.755
173.013	131.775
173.368	124.631
173.368	124.631
173.368	124.631
174.737	120.313
175.002	118.694
175.002	118.694
175.002	118.694
174.525	118.183
173.727	119.027
173.727	119.027
173.727	119.027
